2	5	35	20
3	10	35	10
5	25	35	10
6	30	35	20
9	5	32.5	20
10	10	32.5	10
12	25	32.5	10
13	30	32.5	20
16	5	30	20
17	10	30	10
19	25	30	10
20	30	30	20
23	5	27.5	20
24	10	27.5	10
26	25	27.5	10
27	30	27.5	20
30	5	25	20
31	10	25	10
33	25	25	10
34	30	25	20
37	5	22.5	20
38	10	22.5	10
40	25	22.5	10
41	30	22.5	20
44	5	20	20
45	10	20	10
47	25	20	10
48	30	20	20
51	5	17.5	20
52	10	17.5	10
54	25	17.5	10
55	30	17.5	20
58	5	15	20
59	10	15	10
61	25	15	10
62	30	15	20
65	5	12.5	20
66	10	12.5	10
68	25	12.5	10
69	30	12.5	20
72	5	10	20
73	10	10	10
75	25	10	10
76	30	10	20
79	5	7.5	20
80	10	7.5	10
82	25	7.5	10
83	30	7.5	20
86	5	5	20
87	10	5	10
89	25	5	10
90	30	5	20
93	5	2.5	20
94	10	2.5	10
96	25	2.5	10
97	30	2.5	20
100	5	0	20
101	10	0	10
103	25	0	10
104	30	0	20
